Number of PURLs per target domain,
Domain,Number of PURLs
permanent.fdlp.gov,75517
govinfo.library.unt.edu,975
www.govinfo.gov,167929
ntrs.nasa.gov,5735
wayback.archive-it.org,4896
nces.ed.gov,556
www.gao.gov,8879
www.ers.usda.gov,103
webharvest.gov,5860
usda.library.cornell.edu,241
webarchive.library.unt.edu,641
clintonwhitehouse3.archives.gov,20
eot.us.archive.org,989
www.nrcs.usda.gov,42
ertvideo.org,19
www.fs.usda.gov,698
www.bls.gov,269
fraser.stlouisfed.org,2260
www.irs.gov,969
www.epa.gov,277
www2.census.gov,570
www.dliflc.edu,1
data.ers.usda.gov,97
www.airmanmagazine.af.mil,1
www.rd.usda.gov,38
www.loc.gov,476
www.energy.gov,59
www.census.gov,481
www.ussc.gov,14
pubs.usgs.gov,15727
www.cia.gov,38
www.gpo.gov,6590
www.nrel.gov,2043
www.justice.gov,176
ies.ed.gov,6
uscode.house.gov,5
www.ngdc.noaa.gov,259
www.research.va.gov,6
www.fda.gov,68
web.archive.org,1168
www.nrc.gov,712
www.ffiec.gov,7
archive.ahrq.gov,51
www.ssa.gov,65
2009-2017.state.gov,568
store.usgs.gov,582
clu-in.org,109
www.ncbi.nlm.nih.gov,103
www.fsis.usda.gov,9
dec.usaid.gov,137
www.transportation.gov,14
webarchive.loc.gov,2065
samm.dsca.mil,1
fews.net,47
www.bjs.gov,31
www.eia.gov,107
www.fdic.gov,86
www.webharvest.gov,945
commons.lib.jmu.edu,3
catalog.archives.gov,61
www.faa.gov,154
usace.contentdm.oclc.org,5
nauticalcharts.noaa.gov,17
www.uspto.gov,53
www.ams.usda.gov,43
www.neh.gov,22
www.rma.usda.gov,139
www.pmel.noaa.gov,2
www.huduser.gov,80
library.unt.edu,86
solarsystem.nasa.gov,2
www.stsci.edu,1
www.opm.gov,51
www.nasa.gov,88
www.dol.gov,138
www.ojp.gov,515
sbir.nih.gov,1
www2.ed.gov,108
ngmdb.usgs.gov,195
www.usgs.gov,177
cms.ferc.gov,3
www.nae.usace.army.mil,2
fiscal.treasury.gov,10
www.americorps.gov,48
clnr.hqi.usmc.mil,1
innovations.ahrq.gov,2
www.fema.gov,38
nepis.epa.gov,317
www.foreignassistance.gov,8
cfpub.epa.gov,32
www.cdc.gov,286
icsw.nhtsa.gov,47
aero.larc.nasa.gov,1
crashstats.nhtsa.dot.gov,109
webapp1.dlib.indiana.edu,89
data.ams.usda.gov,1
www.nlm.nih.gov,45
www.charts.noaa.gov,333
www.fws.gov,58
volcano.si.edu,7
energy.gov,52
historicalcharts.noaa.gov,48
www.af.mil,112
www.ncei.noaa.gov,88
nifa.usda.gov,4
www.transtats.bts.gov,2
www.nass.usda.gov,134
ncua.gov,1
www.nodc.noaa.gov,17
www.netl.doe.gov,2
water.usgs.gov,41
www.benefits.va.gov,7
eclipse.gsfc.nasa.gov,1
www.navcen.uscg.gov,28
www.occ.gov,40
www.cancer.gov,13
bioguide.congress.gov,1
www.nidcd.nih.gov,3
www.ftc.gov,51
wonder.cdc.gov,11
archive.gao.gov,114
www.dvidshub.net,50
www.cpc.ncep.noaa.gov,15
one.nhtsa.gov,56
1997-2001.state.gov,19
2001-2009.state.gov,7
www.nwfsc.noaa.gov,3
www.dhs.gov,47
www.guideline.gov,1
trumpwhitehouse.archives.gov,36
ojjdp.ojp.gov,15
www.cbo.gov,75
www.arts.gov,27
www.ncdc.noaa.gov,82
www.usda.gov,13
afdc.energy.gov,8
directory.house.gov,2
nccih.nih.gov,6
www.state.gov,211
www.compliance.af.mil,1
www.ihs.gov,12
usitc.gov,16
