5071	1.9862476E7	8367	1.5217020961123781E-6	mil.darpa
5820	1.9640568E7	12987	1.0918414632833681E-6	mil.army
6742	1.9452986E7	28604	4.4116662317079673E-7	mil.dtic
6785	1.944414E7	12194	1.19055194581515E-6	mil.af
8383	1.9214884E7	27418	4.647057376005164E-7	mil.dtic.apps
9876	1.9067366E7	50710	2.3629616450332863E-7	mil.army.home
10703	1.9005064E7	26983	4.733629281382616E-7	mil.osd.acq
10897	1.898962E7	20350	6.566769725910473E-7	mil.navy
13220	1.8849324E7	20419	6.545186305827662E-7	mil.uscg
13312	1.8844176E7	55391	2.153191330446736E-7	mil.navy.onr
13635	1.8827452E7	71063	1.7137266907518084E-7	mil.af.wpafb
14125	1.8805086E7	27263	4.6789221274900754E-7	mil.cyber.public
15517	1.874513E7	32947	3.7382257153448383E-7	mil.navy.usno.tycho
16204	1.8715236E7	35535	3.465095477835353E-7	mil.nga.earth-info
16845	1.8690316E7	65893	1.8171228449630668E-7	mil.navy.cnic
17372	1.8673062E7	79938	1.5119648729091063E-7	mil.arlingtoncemetery
18672	1.863161E7	38056	3.201632248397132E-7	mil.navy.history
20026	1.8593626E7	25841	4.997973100623294E-7	mil.health
21838	1.8545504E7	172157	8.385843981582905E-8	mil.af.au
22151	1.85384E7	289260	4.8719181603977964E-8	mil.army.usace.sec.nid
22288	1.8535322E7	59983	1.9819355279722127E-7	mil.navy.nrl
23649	1.8505804E7	36676	3.344727208477472E-7	mil.marines
25900	1.8462322E7	73942	1.641963469989621E-7	mil.disa.iase
26301	1.8454888E7	384784	3.6619597971858817E-8	mil.osd.dote
28469	1.841613E7	73209	1.6584105869829037E-7	mil.army.history
28508	1.8415532E7	57661	2.0631486084329976E-7	mil.uscg.dco
28808	1.8410304E7	88028	1.3664380297979434E-7	mil.af.nationalmuseum
29202	1.8403628E7	274577	5.108182255297494E-8	mil.doded.dantes
29535	1.8398636E7	97274	1.2332978722385408E-7	mil.navy.public
30994	1.837609E7	51194	2.3384694833106342E-7	mil.defenselink
31724	1.8365958E7	70957	1.716511253690593E-7	mil.navy.usno
34027	1.8333976E7	41032	2.9433579477064346E-7	mil.navy.usno.aa
35974	1.831146E7	29313	4.285471031911661E-7	mil.whs.esd
37556	1.8290216E7	28473	4.436794148202879E-7	mil.army.usace
37983	1.8284742E7	254474	5.48237822094248E-8	mil.norad
38620	1.8277036E7	69369	1.7591603054185235E-7	mil.spaceforce
39029	1.8271626E7	91909	1.308281695185484E-7	mil.uscg.dcms
39107	1.8270898E7	235820	5.9257836653411215E-8	mil.army.usace.publications
39382	1.8267616E7	172835	8.360405411820409E-8	mil.sigar
39501	1.8266574E7	20149	6.636986343503152E-7	mil.militaryonesource
41843	1.824144E7	122274	9.994542337783547E-8	mil.centcom
42647	1.823254E7	196160	7.318267274554856E-8	mil.africom
44208	1.8216032E7	1088166	1.4380524908651572E-8	mil.dodlive.navylive.usnhistory
45103	1.8207754E7	114223	1.0498208332410816E-7	mil.mda
45150	1.820723E7	101370	1.183158501333022E-7	mil.dia
45725	1.8200892E7	52739	2.2641470785438805E-7	mil.disa
45735	1.8200726E7	273819	5.1211797965248545E-8	mil.army.usace.nae
45969	1.8198342E7	274162	5.115006494516635E-8	mil.af.edwards
46099	1.8196932E7	163135	8.691257365918222E-8	mil.pacom
46232	1.8195488E7	462147	3.027206314215969E-8	mil.army.strategicstudiesinstitute
47109	1.8187318E7	950785	1.593386360502483E-8	mil.army.pica
48486	1.8174436E7	442284	3.169611585725491E-8	mil.dren.erdc.erdc-library
49651	1.8168476E7	25803	5.006626105991742E-7	mil.tricare
50373	1.8162472E7	105000	1.138891645696503E-7	mil.dsca
53008	1.8143912E7	371804	3.80285107113073E-8	mil.army.benning
53518	1.813926E7	71824	1.6932360251680474E-7	mil.jcs
53564	1.8138858E7	272361	5.14315526134903E-8	mil.navy.cpf
53706	1.8137734E7	51777	2.3098663074900075E-7	mil.dfas
54410	1.8131632E7	242534	5.7512179721566146E-8	mil.army.usacac
54656	1.8129652E7	92238	1.303296520553944E-7	mil.osd.dmdc
56299	1.8117344E7	190017	7.61107890977001E-8	mil.dod
57222	1.8110608E7	196008	7.325480748340053E-8	mil.navy.usno.maia
57359	1.8109664E7	529091	2.6464198104738464E-8	mil.army.carlisle
58501	1.8102206E7	545313	2.5703583297355048E-8	mil.af.recruiting
59787	1.8094146E7	100087	1.199434632357987E-7	mil.af.usafa
60249	1.8091452E7	869828	1.7068171572756555E-8	mil.army.usace.navigation
